Date,CO
2016-12-20,22
2016-12-21,23
2016-12-22,24
2016-12-23,28
2016-12-24,29
2016-12-25,29
2016-12-26,39
2016-12-27,34
2016-12-28,30
2016-12-29,33
2016-12-30,40
2016-12-31,44
2017-01-01,38
2017-01-02,33
2017-01-03,31
2017-01-04,35
2017-01-05,35
2017-01-06,34
2017-01-07,34
2017-01-08,36
2017-01-09,34
2017-01-10,51
2017-01-11,43
2017-01-12,43
2017-01-13,27
2017-01-14,23
2017-01-15,25
2017-01-16,27
2017-01-17,30
2017-01-18,25
2017-01-19,24
2017-01-20,24
2017-01-21,25
2017-01-22,35
2017-01-23,36
2017-01-24,30
2017-01-25,28
2017-01-26,28
2017-01-27,29
2017-01-28,28
2017-01-29,29
2017-01-30,28
2017-01-31,26
2017-02-01,29
2017-02-02,27
2017-02-03,30
2017-02-04,28
2017-02-05,26
2017-02-06,26
2017-02-07,34
2017-02-08,30
2017-02-09,32
2017-02-10,31
2017-02-11,36
2017-02-12,34
2017-02-13,36
2017-02-14,47
2017-02-15,36
2017-02-16,29
2017-02-17,48
2017-02-18,45
2017-02-19,80
2017-02-20,52
2017-02-21,70
2017-02-22,40
2017-02-23,41
2017-02-24,50
2017-02-25,43
2017-02-26,44
2017-02-27,39
2017-02-28,46
2017-03-01,41
2017-03-02,44
2017-03-03,54
2017-03-04,43
2017-03-05,41
2017-03-06,38
2017-03-07,37
2017-03-08,40
2017-03-09,34
2017-03-10,51
2017-03-11,45
2017-03-12,48
2017-03-13,35
2017-03-14,33
2017-03-15,34
2017-03-16,31
2017-03-17,40
2017-03-18,51
2017-03-19,46
2017-03-20,17
2017-03-21,23
2017-03-22,40
2017-03-23,46
2017-03-24,93
2017-03-25,39
2017-03-26,61
2017-03-27,39
2017-03-28,68
2017-03-29,53
2017-03-30,32
2017-03-31,26
2017-04-01,28
2017-04-02,45
2017-04-03,37
2017-04-04,41
2017-04-05,38
2017-04-06,26
2017-04-07,17
2017-04-08,17
2017-04-09,21
2017-04-10,42
2017-04-11,23
2017-04-12,26
2017-04-13,47
2017-04-14,33
2017-04-15,36
2017-04-16,53
2017-04-17,56
2017-04-18,62
2017-04-19,60
2017-04-20,57
2017-04-21,38
2017-04-22,57
2017-04-23,61
2017-04-24,39
2017-04-25,70
2017-04-26,18
2017-04-27,35
2017-04-28,28
2017-04-29,17
2017-04-30,18
2017-05-01,20
2017-05-02,27
2017-05-03,34
2017-05-04,22
2017-05-05,23
2017-05-06,22
2017-05-07,26
2017-05-08,27
2017-05-09,30
2017-05-10,28
2017-05-11,50
2017-05-12,50
2017-05-13,39
2017-05-14,38
2017-05-15,41
2017-05-16,41
2017-05-17,46
2017-05-18,37
2017-05-19,61
2017-05-20,49
2017-05-21,33
2017-05-22,36
2017-05-23,36
2017-05-24,40
2017-05-25,38
2017-05-26,46
2017-05-27,44
2017-05-28,33
2017-05-29,34
2017-05-30,40
2017-05-31,31
2017-06-01,29
2017-06-02,43
2017-06-03,43
2017-06-04,41
2017-06-05,45
2017-06-06,37
2017-06-07,36
2017-06-08,32
2017-06-09,32
2017-06-10,38
2017-06-11,41
2017-06-12,33
2017-06-13,46
2017-06-14,34
2017-06-15,35
2017-06-16,38
2017-06-17,31
2017-06-18,38
2017-06-19,35
2017-06-20,37
2017-06-21,51
2017-06-22,73
2017-06-23,47
2017-06-24,33
2017-06-25,56
2017-06-26,26
2017-06-27,24
2017-06-28,53
2017-06-29,30
2017-06-30,25
2017-07-01,42
2017-07-02,28
2017-07-03,28
2017-07-04,31
2017-07-05,29
2017-07-06,33
2017-07-07,45
2017-07-08,70
2017-07-09,33
2017-07-10,33
2017-07-11,19
2017-07-12,19
2017-07-13,39
2017-07-14,39
2017-07-15,52
2017-07-16,44
2017-07-17,35
2017-07-18,48
2017-07-19,41
2017-07-20,39
2017-07-21,32
2017-07-22,39
2017-07-23,33
2017-07-24,40
2017-07-25,35
2017-07-26,42
2017-07-27,38
2017-07-28,35
2017-07-29,31
2017-07-30,38
2017-07-31,32
2017-08-01,34
2017-08-02,35
2017-08-03,33
2017-08-04,35
2017-08-05,37
2017-08-06,39
2017-08-07,40
2017-08-08,38
2017-08-09,39
2017-08-10,32
2017-08-11,33
2017-08-12,33
2017-08-13,28
2017-08-14,35
2017-08-15,38
2017-08-16,34
2017-08-17,35
2017-08-18,34
2017-08-19,31
2017-08-20,30
2017-08-21,32
2017-08-22,42
2017-08-23,42
2017-08-24,37
2017-08-25,31
2017-08-26,37
2017-08-27,37
2017-08-28,35
2017-08-29,36
2017-08-30,34
2017-08-31,31
2017-09-01,27
2017-09-02,29
2017-09-03,39
2017-09-04,35
2017-09-05,19
2017-09-06,39
2017-09-07,37
2017-09-08,26
2017-09-09,34
2017-09-10,27
2017-09-11,29
2017-09-12,37
2017-09-13,30
2017-09-14,36
2017-09-15,31
2017-09-16,24
2017-09-17,26
2017-09-18,25
2017-09-19,22
2017-09-20,28
2017-09-21,25
2017-09-22,26
2017-09-23,31
2017-09-24,26
2017-09-25,25
2017-09-26,30
2017-09-27,27
2017-09-28,52
2017-09-29,39
2017-09-30,39
2017-10-01,34
2017-10-02,47
2017-10-03,43
2017-10-04,41
2017-10-05,40
2017-10-06,40
2017-10-07,39
2017-10-08,19
2017-10-09,38
2017-10-10,40
2017-10-11,40
2017-10-12,39
2017-10-13,39
2017-10-14,32
2017-10-15,30
2017-10-16,31
2017-10-17,47
2017-10-18,31
2017-10-19,44
2017-10-20,43
2017-10-21,53
2017-10-22,39
2017-10-23,37
2017-10-24,49
2017-10-25,38
2017-10-26,32
2017-10-27,33
2017-10-28,37
2017-10-29,52
2017-10-30,39
2017-10-31,32
2017-11-01,33
2017-11-02,37
2017-11-03,32
2017-11-04,34
2017-11-05,43
2017-11-06,32
2017-11-07,31
2017-11-08,47
2017-11-09,34
2017-11-10,45
2017-11-11,35
2017-11-12,33
2017-11-13,37
2017-11-14,42
2017-11-15,32
2017-11-16,30
2017-11-17,57
2017-11-18,31
2017-11-19,36
2017-11-20,34
2017-11-21,35
2017-11-22,41
2017-11-23,48
2017-11-24,29
2017-11-25,30
2017-11-26,25
2017-11-27,26
2017-11-28,26
2017-11-29,25
2017-11-30,32
2017-12-01,23
2017-12-02,30
2017-12-03,31
2017-12-04,25
2017-12-05,27
2017-12-06,29
2017-12-07,29
2017-12-08,27
2017-12-09,29
2017-12-10,25
2017-12-11,27
2017-12-12,36
2017-12-13,38
2017-12-14,28
2017-12-15,27
2017-12-16,38
2017-12-17,31
2017-12-18,30
2017-12-19,27
2017-12-20,31
2017-12-21,28
2017-12-22,37
2017-12-23,27
2017-12-24,29
2017-12-25,26
2017-12-26,26
2017-12-27,26
2017-12-28,26
2017-12-29,38
2017-12-30,31
2017-12-31,40
2018-01-01,38
2018-01-02,24
2018-01-03,35
2018-01-04,34
2018-01-05,26
2018-01-06,22
2018-01-07,14
2018-01-08,19
2018-01-09,16
2018-01-10,16
2018-01-11,18
2018-01-12,18
2018-01-13,17
2018-01-14,17
2018-01-15,19
2018-01-16,19
2018-01-17,19
2018-01-18,22
2018-01-19,29
2018-01-20,18
2018-01-21,18
2018-01-22,17
2018-01-23,17
2018-01-24,20
2018-01-25,22
2018-01-26,19
2018-01-27,19
2018-01-28,20
2018-01-29,18
2018-01-30,22
2018-01-31,21
2018-02-01,37
2018-02-02,56
2018-02-03,35
2018-02-04,35
2018-02-05,32
2018-02-06,71
2018-02-07,60
2018-02-08,62
2018-02-09,88
2018-02-10,52
2018-02-11,39
2018-02-12,56
2018-02-13,32
2018-02-14,27
2018-02-15,63
2018-02-16,23
2018-02-17,23
2018-02-18,23
2018-02-19,20
2018-02-20,35
2018-02-21,22
2018-02-22,66
2018-02-23,88
2018-02-24,22
2018-02-25,20
2018-02-26,33
2018-02-27,42
2018-02-28,56
2018-03-01,40
2018-03-02,34
2018-03-03,37
2018-03-04,64
2018-03-05,48
2018-03-06,30
2018-03-07,48
2018-03-08,47
2018-03-09,59
2018-03-10,27
2018-03-11,18
2018-03-12,20
2018-03-13,20
2018-03-14,20
2018-03-15,24
2018-03-16,20
2018-03-17,24
2018-03-18,54
2018-03-19,21
2018-03-20,23
2018-03-21,31
2018-03-22,18
2018-03-23,49
2018-03-24,23
2018-03-25,16
2018-03-26,24
2018-03-27,20
2018-03-28,42
2018-03-29,26
2018-03-30,34
2018-03-31,15
2018-04-01,17
2018-04-02,18
2018-04-03,27
2018-04-04,20
2018-04-05,29
2018-04-06,21
2018-04-07,29
2018-04-08,16
2018-04-09,20
2018-04-10,19
2018-04-11,23
2018-04-12,16
2018-04-13,16
2018-04-14,21
2018-04-15,23
2018-04-16,27
2018-04-17,24
2018-04-18,26
2018-04-19,33
2018-04-20,30
2018-04-21,43
2018-04-22,29
2018-04-23,30
2018-04-24,33
2018-04-25,37
2018-04-26,34
2018-04-27,22
2018-04-28,23
2018-04-29,26
2018-04-30,29
2018-05-01,19
2018-05-02,22
2018-05-03,23
2018-05-04,46
2018-05-05,27
2018-05-06,17
2018-05-07,17
2018-05-08,21
2018-05-09,21
2018-05-10,18
2018-05-11,16
2018-05-12,29
2018-05-13,26
2018-05-14,20
2018-05-15,25
2018-05-16,23
2018-05-17,19
2018-05-18,26
2018-05-19,13
2018-05-20,29
2018-05-21,20
2018-05-22,14
2018-05-23,12
2018-05-24,12
2018-05-25,22
2018-05-26,24
2018-05-27,23
2018-05-28,55
2018-05-29,21
2018-05-30,24
2018-05-31,21
2018-06-01,30
2018-06-02,14
2018-06-03,16
2018-06-04,11
2018-06-05,13
2018-06-06,16
2018-06-07,21
2018-06-08,16
2018-06-09,39
2018-06-10,28
2018-06-11,14
2018-06-12,18
2018-06-13,30
2018-06-14,18
2018-06-15,21
2018-06-16,31
2018-06-17,11
2018-06-18,10
2018-06-19,13
2018-06-20,16
2018-06-21,11
2018-06-22,17
2018-06-23,14
2018-06-24,15
2018-06-25,14
2018-06-26,43
2018-06-27,23
2018-06-28,24
2018-06-29,18
2018-06-30,17
2018-07-01,27
2018-07-02,28
2018-07-03,23
2018-07-04,24
2018-07-05,16
2018-07-06,16
2018-07-07,32
2018-07-08,32
2018-07-09,17
2018-07-10,19
2018-07-11,17
2018-07-12,16
2018-07-13,17
2018-07-14,19
2018-07-15,14
2018-07-16,14
2018-07-17,20
2018-07-18,25
2018-07-19,19
2018-07-20,16
2018-07-21,14
2018-07-22,22
2018-07-23,23
2018-07-24,23
2018-07-25,23
2018-07-26,22
2018-07-27,19
2018-07-28,31
2018-07-29,23
2018-07-30,23
2018-07-31,22
2018-08-01,21
2018-08-02,18
2018-08-03,16
2018-08-04,16
2018-08-05,14
2018-08-06,13
2018-08-07,21
2018-08-08,28
2018-08-09,22
2018-08-10,18
2018-08-11,17
2018-08-12,20
2018-08-13,14
2018-08-14,19
2018-08-15,15
2018-08-16,17
2018-08-17,15
2018-08-18,14
2018-08-19,20
2018-08-20,19
2018-08-21,16
2018-08-22,16
2018-08-23,17
2018-08-24,22
2018-08-25,19
2018-08-26,16
2018-08-27,20
2018-08-28,17
2018-08-29,16
2018-08-30,17
2018-08-31,18
2018-09-01,20
2018-09-02,20
2018-09-03,23
2018-09-04,22
2018-09-05,15
2018-09-06,25
2018-09-07,21
2018-09-08,19
2018-09-09,30
2018-09-10,20
2018-09-11,16
2018-09-12,16
2018-09-13,19
2018-09-14,18
2018-09-15,17
2018-09-16,15
2018-09-17,17
2018-09-18,18
2018-09-19,16
2018-09-20,19
2018-09-21,34
2018-09-22,25
2018-09-23,29
2018-09-24,25
2018-09-25,31
2018-09-26,26
2018-09-27,21
2018-09-28,22
2018-09-29,21
2018-09-30,20
2018-10-01,17
2018-10-02,22
2018-10-03,20
2018-10-04,24
2018-10-05,18
2018-10-06,21
2018-10-07,22
2018-10-08,19
2018-10-09,19
2018-10-10,24
2018-10-11,17
2018-10-12,22
2018-10-13,20
2018-10-14,20
2018-10-15,19
2018-10-16,23
2018-10-17,23
2018-10-18,20
2018-10-19,23
2018-10-20,18
2018-10-21,22
2018-10-22,21
2018-10-23,19
2018-10-24,31
2018-10-25,25
2018-10-26,20
2018-10-27,26
2018-10-28,20
2018-10-29,24
2018-10-30,25
2018-10-31,20
2018-11-01,35
2018-11-02,21
2018-11-03,24
2018-11-04,31
2018-11-05,23
2018-11-06,20
2018-11-07,26
2018-11-08,24
2018-11-09,22
2018-11-10,36
2018-11-11,35
2018-11-12,31
2018-11-13,31
2018-11-14,25
2018-11-15,20
2018-11-16,22
2018-11-17,18
2018-11-18,22
2018-11-19,31
2018-11-20,21
2018-11-21,21
2018-11-22,25
2018-11-23,26
2018-11-24,38
2018-11-25,21
2018-11-26,26
2018-11-27,28
2018-11-28,22
2018-11-29,33
2018-11-30,20
2018-12-01,27
2018-12-02,22
2018-12-03,21
2018-12-04,31
2018-12-05,33
2018-12-06,33
2018-12-07,29
2018-12-08,30
2018-12-09,25
2018-12-10,32
2018-12-11,50
2018-12-12,31
2018-12-13,24
2018-12-14,21
2018-12-15,16
2018-12-16,11
2018-12-17,12
2018-12-18,16
2018-12-19,24
2018-12-20,24
2018-12-21,19
2018-12-22,21
2018-12-23,19
2018-12-24,9
2018-12-25,7
2018-12-26,7
2018-12-27,15
2018-12-28,7
2018-12-29,6
2018-12-30,6
2018-12-31,6
2019-01-01,7
2019-01-02,6
2019-01-03,6
2019-01-04,10
2019-01-05,16
2019-01-06,30
2019-01-07,16
2019-01-08,25
2019-01-09,28
2019-01-10,27
2019-01-11,28
2019-01-12,24
2019-01-13,28
2019-01-14,32
2019-01-15,26
2019-01-16,19
2019-01-17,23
2019-01-18,16
2019-01-19,27
2019-01-20,39
2019-01-21,22
2019-01-22,23
2019-01-23,37
2019-01-24,20
2019-01-25,25
2019-01-26,37
2019-01-27,49
2019-01-28,34
2019-01-29,33
2019-01-30,32
2019-01-31,22
2019-02-01,47
2019-02-02,47
2019-02-03,34
2019-02-04,27
2019-02-05,36
2019-02-06,20
2019-02-07,34
2019-02-08,23
2019-02-09,25
2019-02-10,28
2019-02-11,19
2019-02-12,36
2019-02-13,43
2019-02-14,39
2019-02-15,19
2019-02-16,15
2019-02-17,20
2019-02-18,31
2019-02-19,31
2019-02-20,41
2019-02-21,29
2019-02-22,34
2019-02-23,24
2019-02-24,29
2019-02-25,32
2019-02-26,25
2019-02-27,24
2019-02-28,22
2019-03-01,29
2019-03-02,25
2019-03-03,22
2019-03-04,32
2019-03-05,28
2019-03-06,25
2019-03-07,39
2019-03-08,41
2019-03-09,29
2019-03-10,23
2019-03-11,20
2019-03-12,20
2019-03-13,28
2019-03-14,52
2019-03-15,29
2019-03-16,43
2019-03-17,18
2019-03-18,18
2019-03-19,18
2019-03-20,16
2019-03-21,21
2019-03-22,24
2019-03-23,15
2019-03-24,9
2019-03-25,14
2019-03-26,36
2019-03-27,25
2019-03-28,36
2019-03-29,34
2019-03-30,25
2019-03-31,35
2019-04-01,37
2019-04-02,49
2019-04-03,44
2019-04-04,30
2019-04-05,25
2019-04-06,38
2019-04-07,41
2019-04-08,24
2019-04-09,27
2019-04-10,32
2019-04-11,23
2019-04-12,38
2019-04-13,42
2019-04-14,37
2019-04-15,39
2019-04-16,43
2019-04-17,39
2019-04-18,26
2019-04-19,21
2019-04-20,16
2019-04-21,27
2019-04-22,24
2019-04-23,18
2019-04-24,20
2019-04-25,45
2019-04-26,22
2019-04-27,38
2019-04-28,46
2019-04-29,35
2019-04-30,29
2019-05-01,29
2019-05-02,18
2019-05-03,24
2019-05-04,32
2019-05-05,34
2019-05-06,22
2019-05-07,31
2019-05-08,52
2019-05-09,32
2019-05-10,26
2019-05-11,22
2019-05-12,24
2019-06-01,19
2019-06-02,23
2019-06-03,18
2019-06-04,20
2019-06-05,26
2019-06-06,11
2019-06-07,11
2019-06-08,13
2019-06-09,18
2019-06-10,20
2019-06-11,22
2019-06-12,22
2019-06-13,25
2019-06-14,21
2019-06-15,27
2019-06-16,24
2019-06-17,24
2019-06-18,20
2019-06-19,19
2019-06-20,34
2019-06-21,23
2019-06-22,19
2019-06-23,20
2019-06-24,20
2019-06-25,25
2019-06-26,21
2019-06-27,25
2019-06-28,28
2019-06-29,26
2019-06-30,16
2019-07-01,23
2019-07-02,24
2019-07-03,21
2019-07-04,20
2019-07-05,23
2019-07-06,22
2019-07-07,12
2019-07-08,17
2019-07-09,22
2019-07-10,14
2019-07-11,20
2019-07-12,17
2019-07-13,18
2019-07-14,22
2019-07-15,23
2019-07-16,24
2019-07-17,27
2019-07-18,23
2019-07-19,26
2019-07-20,22
2019-07-21,18
2019-07-22,24
2019-07-23,23
2019-07-24,20
2019-07-25,37
2019-07-26,21
2019-07-27,17
2019-07-28,17
2019-07-29,27
2019-07-30,26
2019-08-01,22
2019-08-02,22
2019-08-03,20
2019-08-04,18
2019-08-05,0
2019-08-06,20
2019-08-07,22
2019-08-08,24
2019-08-09,21
2019-08-10,24
2019-08-11,21
2019-08-12,17
2019-08-13,21
2019-08-14,19
2019-08-15,22
2019-08-16,48
2019-08-17,22
2019-08-18,25
2019-08-19,25
2019-08-20,23
2019-08-21,20
2019-08-22,20
2019-08-23,29
2019-08-24,22
2019-08-25,17
2019-08-26,22
2019-08-27,24
2019-08-28,28
2019-08-29,28
2019-08-30,22
2019-08-31,30
2019-09-01,26
2019-09-02,24
2019-09-03,20
2019-09-04,24
2019-09-05,26
2019-09-06,23
2019-09-07,26
2019-09-08,20
2019-09-09,20
2019-09-10,21
2019-09-11,25
2019-09-12,25
2019-09-13,23
2019-09-14,21
2019-09-15,22
2019-09-16,24
2019-09-17,21
2019-09-18,22
2019-09-19,25
2019-09-20,19
2019-09-21,16
2019-09-22,16
2019-09-23,18
2019-09-24,18
2019-09-25,24
2019-09-26,21
2019-09-27,23
2019-09-28,18
2019-09-29,19
2019-09-30,18
2019-10-01,20
2019-10-02,15
2019-10-03,19
2019-10-04,19
2019-10-05,14
2019-10-06,10
2019-10-07,15
2019-10-08,22
2019-10-09,19
2019-10-10,20
2019-10-11,21
2019-10-12,31
2019-10-13,17
2019-10-14,18
2019-10-15,18
2019-10-16,23
2019-10-17,20
2019-10-18,17
2019-10-19,19
2019-10-20,24
2019-10-21,40
2019-10-22,16
2019-10-23,20
2019-10-24,18
2019-10-25,19
2019-10-26,19
2019-10-27,28
2019-10-28,21
2019-10-29,30
2019-10-30,21
2019-10-31,18
2019-11-01,16
2019-11-02,17
2019-11-03,14
2019-11-04,16
2019-11-05,19
2019-11-06,27
2019-11-07,24
2019-11-08,26
2019-11-09,17
2019-11-10,16
2019-11-11,13
2019-11-12,22
2019-11-13,34
2019-11-14,32
2019-11-15,33
2019-11-16,20
2019-11-17,20
2019-11-18,17
2019-11-19,21
2019-11-20,18
2019-11-21,21
2019-11-22,27
2019-11-23,34
2019-11-24,27
2019-11-25,23
2019-11-26,30
2019-11-27,38
2019-11-28,28
2019-11-29,25
2019-11-30,26
2019-12-01,30
2019-12-02,21
2019-12-03,28
2019-12-04,29
2019-12-05,22
2019-12-06,25
2019-12-07,20
2019-12-08,29
2019-12-09,30
2019-12-10,24
2019-12-11,31
2019-12-12,28
2019-12-13,29
2019-12-14,23
2019-12-15,19
2019-12-16,22
2019-12-17,22
2019-12-18,28
2019-12-19,30
2019-12-20,30
2019-12-21,35
2019-12-22,24
2019-12-23,32
2019-12-24,34
2019-12-25,26
2019-12-26,22
2019-12-27,26
2019-12-28,34
2019-12-29,36
2019-12-30,55
2019-12-31,23
2020-01-01,25
2020-01-02,39
2020-01-03,27
2020-01-04,19
2020-01-05,25
2020-01-06,39
2020-01-07,39
2020-01-08,22
2020-01-09,58
2020-01-10,27
2020-01-11,25
2020-01-12,17
2020-01-13,15
2020-01-14,17
2020-01-15,16
2020-01-16,41
2020-01-17,40
2020-01-18,25
2020-01-19,71
2020-01-20,20
2020-01-21,41
2020-01-22,43
2020-01-23,29
2020-01-24,31
2020-01-25,34
2020-01-26,51
2020-01-27,29
2020-01-28,39
2020-01-29,42
2020-01-30,21
2020-01-31,27
2020-02-01,39
2020-02-02,35
2020-02-03,50
2020-02-04,53
2020-02-05,57
2020-02-06,26
2020-02-07,28
2020-02-08,24
2020-02-09,35
2020-02-10,27
2020-02-11,26
2020-02-12,19
2020-02-13,23
2020-02-14,36
2020-02-15,51
2020-02-16,35
2020-02-17,30
2020-02-18,55
2020-02-19,28
2020-02-20,21
2020-02-21,25
2020-02-22,75
2020-02-23,37
2020-02-24,21
2020-02-25,25
2020-02-26,27
2020-02-27,40
2020-02-28,33
2020-02-29,52
2020-03-02,35
2020-03-03,
2020-03-04,39
2020-03-05,32
2020-03-06,52
2020-03-07,40
2020-03-08,40
2020-03-09,38
2020-03-10,39
2020-03-11,36
2020-03-12,46
2020-03-13,58
2020-03-14,51
2020-03-15,59
2020-03-16,63
2020-03-17,62
2020-03-18,38
2020-03-19,35
2020-03-20,33
2020-03-21,11
2020-03-22,15
2020-03-23,5
2020-03-24,14
2020-03-25,25
2020-03-26,6
2020-03-27,9
2020-03-28,6
2020-03-29,12
2020-03-30,11
2020-03-31,10
2020-03-31,14
2020-04-01,35
2020-04-02,22
2020-04-03,22
2020-04-04,25
2020-04-05,19
2020-04-06,29
2020-04-07,23
2020-04-08,13
2020-04-09,19
2020-04-10,26
2020-04-11,18
2020-04-12,31
2020-04-13,17
2020-04-14,22
2020-04-15,19
2020-04-16,17
2020-04-17,19
2020-04-18,15
2020-04-19,20
2020-04-20,20
2020-04-21,17
2020-04-22,26
